,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE
0,KARAPAKKAM,1004,1,1,3,Yes,20221,Commercial,AllPub,Paved,A,7600000
1,ANNA NAGAR,1986,2,1,5,No,9773,Commercial,AllPub,Gravel,RH,21717770
2,ADYAR,909,1,1,3,Yes,10979,Commercial,ELO,Gravel,RL,13159200
3,VELACHERY,1855,3,2,5,No,12608,Others,NoSeWa,Paved,I,9630290
4,KARAPAKKAM,1226,1,1,3,Yes,15687,Others,AllPub,Gravel,C,7406250
5,CHROMPET,1220,2,1,4,No,4672,Commercial,NoSeWa,No Access,RH,12394750
6,CHROMPET,1167,1,1,3,No,15635,Others,AllPub,No Access,RL,8488790
7,VELACHERY,1847,3,2,5,No,9689,Commercial,AllPub,Gravel,RM,16800250
8,CHROMPET,771,1,1,2,No,16599,Others,NoSeWa,Paved,RM,8308970
9,VELACHERY,1635,2,1,4,No,11413,Others,ELO,No Access,I,8083650
10,CHROMPET,1203,2,1,4,Yes,16039,Commercial,AllPub,No Access,RM,14938000
11,CHROMPET,1054,1,1,3,No,18473,Others,NoSeWa,Gravel,RM,9449730
12,CHROMPET,1196,1,1,3,No,11543,Others,NoSeWa,No Access,RL,8774370
13,ADYAR,1056,1,1,3,Yes,15060,Others,NoSeWa,Paved,RH,9386490
14,VELACHERY,1865,3,2,5,No,24045,Commercial,NoSeWa,Paved,RM,15499680
15,VELACHERY,1868,3,2,5,No,8045,Commercial,NoSeWa,Gravel,RH,15714080
16,KARAPAKKAM,1639,2,2,4,Yes,11336,House,ELO,Gravel,I,8656000
17,CHROMPET,796,1,1,2,Yes,17374,Commercial,AllPub,No Access,RL,10912550
18,ADYAR,1136,1,1,3,Yes,16235,Others,AllPub,Paved,A,8287550
19,ANNA NAGAR,1902,2,1,5,Yes,19066,Commercial,ELO,Paved,RL,21203240
20,CHROMPET,1069,1,1,3,Yes,4905,Others,NoSeWa,Paved,RM,10905530
21,CHROMPET,931,1,1,3,Yes,13063,Others,ELO,Paved,RL,9185970
22,KK NAGAR,2010,3,2,5,No,8420,Others,NoSeWa,Gravel,RH,10925400
23,CHROMPET,1074,1,1,3,No,10286,Others,NoSeWa,Gravel,RL,9627380
24,T NAGAR,1972,2,1,5,No,5246,Others,NoSeWa,No Access,RH,13922760
25,T NAGAR,1685,1,1,4,No,15399,House,NoSeWa,Gravel,RM,12601080
26,ADYAR,1130,1,1,3,Yes,14921,Commercial,ELO,Paved,RH,13383350
27,KARAPAKKAM,1301,1,1,3,Yes,6889,Others,NoSeWa,Gravel,C,7939625
28,ADYAR,730,1,1,2,Yes,18289,House,ELO,Gravel,RL,8848285
29,T NAGAR,1806,2,1,5,No,16099,House,NoSeWa,Paved,RH,11338200
30,ANNA NAGAR,1981,2,1,5,No,8239,House,ELO,No Access,RL,12872430
31,ADYAR,868,1,1,3,No,7708,Others,NoSeWa,Gravel,RL,9042050
32,T NAGAR,1721,1,1,4,Yes,11134,Others,ELO,Paved,RM,14874380
33,VELACHERY,1755,2,1,4,Yes,12987,Others,AllPub,Gravel,A,10222380
34,ANNA NAGAR,1709,1,1,4,No,6879,Others,NoSeWa,Gravel,RH,12928590
35,KK NAGAR,2114,3,2,5,Yes,12186,Commercial,NoSeWa,Gravel,RH,17564820
36,KARAPAKKAM,1226,1,1,3,No,14362,House,AllPub,Paved,A,4971250
37,VELACHERY,1648,2,1,4,Yes,9002,Others,NoSeWa,Paved,C,9170660
38,CHROMPET,856,1,1,3,Yes,13464,Others,NoSeWa,Gravel,RM,10383420
39,ADYAR,904,1,1,3,No,19564,Commercial,ELO,No Access,RM,11601400
40,CHROMPET,1198,1,1,3,No,16704,Others,AllPub,No Access,RH,8249260
41,KARAPAKKAM,931,1,1,3,No,10668,Commercial,AllPub,Paved,A,6944500
42,KARAPAKKAM,1290,1,1,3,Yes,22305,House,AllPub,Paved,RH,7745000
43,KARAPAKKAM,507,1,1,2,Yes,21388,House,ELO,Gravel,RH,5728000
44,KK NAGAR,2492,4,2,6,No,10574,Commercial,NoSeWa,Paved,RL,18725520
45,KARAPAKKAM,851,1,1,2,No,14616,House,AllPub,No Access,C,3572250
46,T NAGAR,1882,2,1,5,Yes,13454,Others,ELO,Gravel,RM,16051580
47,ANNA NAGAR,1710,1,1,4,Yes,8714,Commercial,AllPub,Gravel,RH,20215970
48,KARAPAKKAM,1412,2,2,4,No,14560,House,ELO,Gravel,RL,8379000
49,ADYAR,779,1,1,2,No,9111,House,NoSeWa,No Access,C,5290635
